assessment_question_id,assessment_question_shuffle_options,assessment_question_allow_partial_scoring
"340rxTvzEeSyOiIACzUIaw@11",f,
"JEhkbfonEeSzJCIAC1WcbA@3",f,
"JEhkbfonEeSzJCIAC1WcbA@3",f,
"JEhkbfonEeSzJCIAC1WcbA@3",f,
"JEhkbfonEeSzJCIAC1WcbA@3",f,
"JEg9V_onEeSzJCIAC1WcbA@3",f,
"JEg9V_onEeSzJCIAC1WcbA@3",f,
"JEg9V_onEeSzJCIAC1WcbA@3",f,
"JEg9V_onEeSzJCIAC1WcbA@3",f,
"JEg9V_onEeSzJCIAC1WcbA@1",f,
"JEg9WPonEeSzJCIAC1WcbA@3",f,
"JEg9WPonEeSzJCIAC1WcbA@3",f,
"JEg9WPonEeSzJCIAC1WcbA@3",f,
"JEg9WPonEeSzJCIAC1WcbA@3",f,
"J8sD-zv1EeS9XCIAC0GF3g@14",f,
"JEg9WPonEeSzJCIAC1WcbA@1",f,
"iKaMqTv1EeSyOiIACzUIaw@14",f,
"iKaMqTv1EeSyOiIACzUIaw@14",f,
"JEhkbfonEeSzJCIAC1WcbA@1",f,
"JEg9WPonEeSzJCIAC1WcbA@2",f,
"JEhkbfonEeSzJCIAC1WcbA@2",f,
"iKaMqTv1EeSyOiIACzUIaw@13",f,
"J8sD-zv1EeS9XCIAC0GF3g@15",f,
"J8sD-zv1EeS9XCIAC0GF3g@15",f,
"v3MCGDvxEeS9XCIAC0GF3g@14",f,
"v3MCGDvxEeS9XCIAC0GF3g@14",f,
"v3MCGDvxEeS9XCIAC0GF3g@14",f,
"v3MCGDvxEeS9XCIAC0GF3g@13",f,
"JEg9V_onEeSzJCIAC1WcbA@2",f,
"340rxTvzEeSyOiIACzUIaw@12",f,
"340rxTvzEeSyOiIACzUIaw@12",f,
"340rxTvzEeSyOiIACzUIaw@12",f,
"340rxTvzEeSyOiIACzUIaw@12",f,
